Data name,Total area (nm2),Defect number,Density (number/nm2),Height average,Height std,Normarized std
SPM_images\data8903.SM4,169.0,15,0.08875739644970414,13.572308181550927,3.64853607243235,0.2688220768072352
SPM_images\data8903.SM4,169.0,15,0.08875739644970414,13.572308181550927,3.64853607243235,0.2688220768072352
SPM_images\data8988.SM4,400.0,35,0.0875,13.572308181550927,3.64853607243235,0.2688220768072352
SPM_images\data9089.SM4,662.6953125,101,0.15240789861479517,13.572308181550927,3.64853607243235,0.2688220768072352
